date,values
2024-01-01,66.87360061478688
2024-01-02,93.6459360522328
2024-01-03,98.60755664888346
2024-01-04,55.19287987938938
2024-01-05,79.77036348955868
2024-01-06,47.242333938861215
2024-01-07,15.065648141609266
2024-01-08,76.42651479404154
2024-01-09,70.92212155985771
2024-01-10,26.28959424217161
2024-01-11,55.086013928921595
2024-01-12,3.2064532652381628
2024-01-13,79.98922133841823
2024-01-14,51.93447782564766
2024-01-15,93.09183502176117
2024-01-16,53.38623867397999
2024-01-17,55.74980224915116
2024-01-18,17.746027668307327
2024-01-19,19.65106133790272
2024-01-20,82.08477477281181
2024-01-21,22.584494257089027
2024-01-22,30.229360584880848
2024-01-23,4.183156345441574
2024-01-24,54.940020489367335
2024-01-25,76.97216452994391
2024-01-26,85.53485237199536
2024-01-27,53.040057495528934
2024-01-28,80.4489109999222
2024-01-29,45.81509753445244
2024-01-30,65.4648165662891
2024-01-31,92.79742818219637
2024-02-01,81.29258282765892
2024-02-02,3.793306586767986
2024-02-03,47.0136508248817
2024-02-04,45.505722499782884
2024-02-05,53.64990654655825
2024-02-06,5.976553195267642
2024-02-07,34.970923385756194
2024-02-08,30.641720097675407
2024-02-09,37.42714457375326
2024-02-10,24.73211627739731
2024-02-11,13.245617721047553
2024-02-12,11.221887108252393
2024-02-13,78.3985531980066
2024-02-14,77.72199304664159
2024-02-15,50.923622413220684
2024-02-16,92.35721990157134
2024-02-17,35.23774436739161
2024-02-18,99.14733655672741
2024-02-19,48.025459228563975
2024-02-20,4.334939882633348
2024-02-21,99.58214864206725
2024-02-22,32.74451491562368
2024-02-23,24.657735104105317
2024-02-24,83.11948563370886
2024-02-25,32.292190210737914
2024-02-26,66.767413645535
2024-02-27,17.279566548497492
2024-02-28,33.1156874464695
2024-02-29,31.19327514645033
2024-03-01,13.116045064719605
2024-03-02,27.239256426084136
2024-03-03,15.614625644912772
2024-03-04,48.9605011967798
2024-03-05,78.77695160206795
2024-03-06,74.47538920416625
2024-03-07,50.31714539317781
2024-03-08,24.180245121925246
2024-03-09,78.88909280766943
2024-03-10,54.12035035507805
2024-03-11,7.7340803145815595
2024-03-12,0.44056678494331925
2024-03-13,9.781084334968925
2024-03-14,72.90807274729136
2024-03-15,46.03022473938489
2024-03-16,99.07246385753385
2024-03-17,35.87682370393001
2024-03-18,61.551269339017104
2024-03-19,49.424091438632054
2024-03-20,24.99395990492047
2024-03-21,16.772895691128255
2024-03-22,42.23141370297312
2024-03-23,80.22612024877543
2024-03-24,69.6874519587245
2024-03-25,56.07940085965093
2024-03-26,36.59433138500624
2024-03-27,78.73580954741189
2024-03-28,65.9352303673024
2024-03-29,13.483148533484224
2024-03-30,59.04799376220841
2024-03-31,24.195653046971334
2024-04-01,94.06795168487919
2024-04-02,61.15100445678061
2024-04-03,71.32100877500449
2024-04-04,13.340933410250667
2024-04-05,39.87083262526837
2024-04-06,30.992976917628678
2024-04-07,43.24749660129845
2024-04-08,30.56318771115717
2024-04-09,73.96181700560493
2024-04-10,73.24222828647414
2024-04-11,62.33208796451283
2024-04-12,59.68418205858315
2024-04-13,82.92681414111543
2024-04-14,35.89990838550645
2024-04-15,78.64178517536818
2024-04-16,45.99198530913571
2024-04-17,33.00323760930972
2024-04-18,57.392069242290525
2024-04-19,12.215516151434292
2024-04-20,50.65678457547601
2024-04-21,10.084648413740648
2024-04-22,19.741135613895466
2024-04-23,47.33082462020002
2024-04-24,39.638443211949856
2024-04-25,86.16885753601001
2024-04-26,4.203200010726283
2024-04-27,5.1144401151090975
2024-04-28,31.697437609365387
2024-04-29,56.056563305591844
2024-04-30,92.32097531086573
2024-05-01,86.443437696743
2024-05-02,71.67163547254253
2024-05-03,0.16873650534214857
2024-05-04,77.40445986250572
2024-05-05,88.26200639028627
2024-05-06,51.48290414165167
2024-05-07,16.63596017571671
2024-05-08,51.08371716076825
2024-05-09,48.158856163781216
2024-05-10,57.426472585848686
2024-05-11,45.606922841098516
2024-05-12,62.56250843229477
2024-05-13,51.67964743587648
2024-05-14,4.707830208146091
2024-05-15,58.6513991029177
2024-05-16,96.05561119493655
2024-05-17,18.33782512093105
2024-05-18,81.28154692049611
2024-05-19,17.93516321826495
2024-05-20,89.2170481888521
2024-05-21,88.1576311554127
2024-05-22,0.9656328925987889
2024-05-23,44.66892787774758
2024-05-24,17.70892723533919
2024-05-25,38.52788383132143
2024-05-26,57.81405079538151
2024-05-27,6.399674363373031
2024-05-28,72.61541772288734
2024-05-29,33.95741404865711
2024-05-30,36.552967828153626
2024-05-31,93.94739670477085
2024-06-01,18.25500011322523
2024-06-02,10.810066222219083
2024-06-03,92.93460626620215
2024-06-04,24.04015080702171
2024-06-05,79.37466921249687
2024-06-06,55.96362032699135
2024-06-07,35.87854952043269
2024-06-08,99.56232786465846
2024-06-09,84.55620913049582
2024-06-10,63.225390252653
2024-06-11,42.715001880219916
2024-06-12,37.29694712328301
2024-06-13,54.11350806586256
2024-06-14,57.45031861064383
2024-06-15,8.428736986880459
2024-06-16,63.59380893881331
2024-06-17,33.44052684564416
2024-06-18,44.68701167148292
2024-06-19,8.700275156786619
2024-06-20,69.35328564955404
2024-06-21,5.524576477213494
2024-06-22,78.74506109992464
2024-06-23,37.28765965735577
2024-06-24,97.10866234216749
2024-06-25,46.86774455781448
2024-06-26,54.76060648579536
2024-06-27,25.026137686581208
2024-06-28,50.7837171774031
2024-06-29,87.0490853232944
2024-06-30,14.043932473117692
2024-07-01,70.99555035399175
2024-07-02,44.297113689590205
2024-07-03,25.933099496370726
2024-07-04,43.58308978532097
2024-07-05,45.159580453446715
2024-07-06,54.175110651005554
2024-07-07,90.4225280076328
2024-07-08,91.41796560410799
2024-07-09,54.449040287400805
2024-07-10,81.78645827002975
2024-07-11,0.47909386221032246
2024-07-12,95.23334300735876
2024-07-13,24.979667934907944
2024-07-14,83.22595442803097
2024-07-15,1.6013757563599795
2024-07-16,71.94757722009659
2024-07-17,69.15243806756727
2024-07-18,88.93025372314223
2024-07-19,75.09436276094488
